,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,24,heures,hours
24,25,vont,will
25,26,pendant,while
26,27,revoir,meet again
27,28,aucune,any
28,29,place,square
29,30,parle,speak
30,31,compris,understood
31,33,étaient,were
32,35,voici,here is
33,36,pourrais,could
34,37,affaire,case
35,38,donner,give
36,39,type,type
37,40,donné,given
38,41,train,train
39,42,corps,body
40,43,endroit,place
41,44,yeux,eyes
42,45,façon,way
43,46,écoute,listen
44,47,dont,whose
45,48,trouve,find
46,49,premier,first
47,50,perdu,lost
48,51,main,hand
49,52,première,first
50,53,côté,side
51,54,pouvoir,power
52,55,vieux,old
53,56,sois,be
54,57,tiens,here
55,58,matin,morning
56,59,tellement,so much
57,60,enfant,child
58,61,point,point
59,62,venu,came
60,63,suite,after
61,64,pardon,sorry
62,65,venez,come
63,66,devant,in front of
64,67,vers,towards
65,68,minutes,minutes
66,69,demandé,request
67,70,chambre,bedroom
68,71,belle,beautiful
69,72,droit,law
70,73,aimerais,would like to
71,74,aujourd'hui,today
72,75,mari,husband
73,76,cause,cause
74,77,enfin,finally
75,78,espère,hope
76,79,eau,water
77,80,attendez,Wait
78,81,parti,left
79,82,nouvelle,new
80,83,boulot,job
81,84,arrêter,Stop
82,85,dirait,would say
83,86,terre,Earth
84,87,compte,account
85,88,donne,given
86,90,fin,end
87,91,croire,believe
88,92,chérie,sweetheart
89,93,gros,large
90,94,plutôt,rather
91,95,filles,girls
92,96,jouer,to play
93,97,bureau,office
